ds,y
2022-04-01,47614
2022-03-01,50214
2022-02-01,50500
2022-01-01,50825
2021-12-01,51486
2021-11-01,52455
2021-10-01,53947
2021-09-01,55816
2021-08-01,57095
2021-07-01,58000
2021-06-01,57709
2021-05-01,57332
2021-04-01,57300
2021-03-01,57259
2021-02-01,56339
2021-01-01,55250
2020-12-01,54600
2020-11-01,54457
2020-10-01,53387
2020-09-01,51048
2020-08-01,49850
2020-07-01,49270
2020-06-01,49100
2020-05-01,47868
2020-04-01,47500
2020-03-01,47500
2020-02-01,47500
2020-01-01,47500
2019-12-01,47500
2019-11-01,47500
2019-10-01,46712
2019-09-01,48095
2019-08-01,47124
2019-07-01,47000
2019-06-01,47000
2019-05-01,47000
2019-04-01,47468
2019-03-01,48195
2019-02-01,48300
2019-01-01,48300
2018-12-01,48300
2018-11-01,48786
2018-10-01,47679
2018-09-01,45300
2018-08-01,45300
2018-07-01,45155
2018-06-01,44063
2018-05-01,43700
2018-04-01,43576
2018-03-01,42995
2018-02-01,41583
2018-01-01,39818
2017-12-01,39211
2017-11-01,37841
2017-10-01,36250
2017-09-01,33452
2017-08-01,31909
2017-07-01,31167
2017-06-01,30024
2017-05-01,30000
2017-04-01,30000
2017-03-01,30000
2017-02-01,30000
2017-01-01,30825
2016-12-01,32000
2016-11-01,32000
2016-10-01,29775
2016-09-01,32211
2016-08-01,34205
2016-07-01,35000
2016-06-01,35000
2016-05-01,35000
2016-04-01,35000
2016-03-01,35000
2016-02-01,35000
2016-01-01,35000
2015-12-01,35500
2015-11-01,35905
2015-10-01,37405
2015-09-01,39150
2015-08-01,39000
2015-07-01,39000
2015-06-01,39000
2015-05-01,39000
2015-04-01,39000
2015-03-01,39250
2015-02-01,40000
2015-01-01,40000
2014-12-01,40262
2014-11-01,41000
2014-10-01,41500
2014-09-01,41528
2014-08-01,42000
2014-07-01,42000
2014-06-01,42000
2014-05-01,42000
2014-04-01,42614
2014-03-01,43000
2014-02-01,43000
2014-01-01,43000
2013-12-01,43000
2013-11-01,43286
2013-10-01,44440
2013-09-01,45000
2013-08-01,45000
2013-07-01,45000
2013-06-01,45000
2013-05-01,44286
2013-04-01,44000
2013-03-01,44000
2013-02-01,44000
2013-01-01,44000
2012-12-01,44000
2012-11-01,43864
2012-10-01,41738
2012-09-01,41000
2012-08-01,41750
2012-07-01,42000
2012-06-01,42000
2012-05-01,42000
2012-04-01,42000
2012-03-01,42000
2012-02-01,42000
2012-01-01,42000
